1842135	1852079
1842147	1849929
1842147	1855469
1842147	1843098
1842147	1849339
1842147	1848804
1842303	1844323
1842303	1854646
1842303	1852156
1842303	1850962
1842303	1846318
1842303	1862334
1842303	1848791
1842303	1852628
1842303	1862104
1842303	1846542
1842303	1854390
1842303	1862903
1842303	1851571
1842303	1843553
1842303	1861478
1842303	1848223
1842303	1853438
1842303	1848178
1842303	1846984
1842303	1861685
1842303	1849523
1842303	1842226
1842303	1848121
1842303	1853159
1842303	1860357
1842303	1843405
1842303	1850713
1842303	1851211
1842303	1849021
1842303	1849571
1842303	1843128
1842303	1861971
1842303	1844633
1842303	1856126
